epoch	train_loss	n_optimizer_steps
1	25.070477508314227	463
2	16.985274057408905	463
3	11.53644048266483	463
4	7.919865761668327	463
5	5.856875886154999	463
6	4.651166977686707	463
7	3.9655976583839236	463
8	3.537860250370034	463
9	3.2464144178394623	463
10	3.037993936250328	463
11	2.8858879822634207	463
12	2.7689426094615435	463
13	2.6819845054371054	463
14	2.6162332427681907	463
15	2.5622192778288673	463
16	2.520314589432455	463
17	2.487089324975889	463
18	2.4599822818846735	463
19	2.436652070245269	463
20	2.4174734392639885	463
21	2.400115814373766	463
22	2.387063216442166	463
23	2.372449093194554	463
24	2.362475569253349	463
25	2.3510205601513	463
26	2.340328529123096	463
27	2.3319074376355493	463
28	2.323124509135796	463
29	2.3145150780420325	463
30	2.308371458918693	463
31	2.3007730732211282	463
32	2.2936972505845468	463
33	2.2873060481852128	463
34	2.280757378295997	463
35	2.27527422266439	463
36	2.2693829778461168	463
37	2.2629106987114858	463
38	2.257900408483221	463
39	2.252662676714409	463
40	2.2478738299713794	463
41	2.242694434542893	463
42	2.2372424834232865	463
43	2.234154694538652	463
44	2.2286349264643364	463
45	2.2257057621463585	463
46	2.2192885638828153	463
47	2.2152880412198557	463
48	2.2110267468199103	463
49	2.2077610909810077	463
50	2.2033388985413453	463
51	2.198224782171311	463
52	2.195384532277579	463
53	2.191671969308709	463
54	2.1872821307336796	463
55	2.1839106675100637	463
56	2.1806909587419314	463
57	2.1773512795985903	463
58	2.1736746956926187	463
59	2.169608221713204	463
60	2.1667391280633583	463
61	2.162499770232462	463
62	2.158832718950111	463
63	2.1560098120769724	463
64	2.1522961741647246	463
65	2.1492451202792173	463
66	2.1466725869003693	463
67	2.1432810375551425	463
68	2.1400832630388167	463
69	2.13736278114772	463
70	2.134129088331762	463
71	2.131805808961263	463
72	2.127523260806601	463
73	2.1251436206743475	463
74	2.1225151498168384	463
75	2.1190064370503436	463
76	2.1169198524874693	463
77	2.1139782414837995	463
78	2.1112584310782907	463
79	2.107734185058149	463
80	2.1065511842525804	463
81	2.1029719904740993	463
82	2.1014166130617937	463
83	2.0967869846146256	463
84	2.0955554779868404	463
85	2.092773624681757	463
86	2.090142635238351	463
87	2.0882427676965043	463
88	2.085503497082523	463
89	2.0831706238101932	463
90	2.0804234138060336	463
91	2.078242841858586	463
92	2.0762609910244048	463
93	2.073011179979625	463
94	2.069797988329284	463
95	2.0684178962048394	463
96	2.0655673204178946	463
97	2.0639065310970497	463
98	2.061682867437408	463
99	2.060551890029248	463
100	2.0573817185140326	463
101	2.054478471273995	463
102	2.0533919182503455	463
103	2.049940270172597	463
104	2.0490948121439563	463
105	2.0461125826990116	463
106	2.0441951383524786	463
107	2.041190686030213	463
108	2.039297238281942	463
109	2.038521262018521	463
110	2.036409008837673	463
111	2.033710564444441	463
112	2.033641534284176	463
113	2.0295641079834676	463
114	2.0282243122034918	463
115	2.0256773408494295	463
116	2.024004485385722	463
117	2.0212153608289185	463
118	2.0198175358720785	463
119	2.0179849196201265	463
120	2.0152378221309983	463
121	2.014858401362376	463
122	2.011964274534139	463
